time,open,high,low,close,volume,Pct_Change,Benchmark_Pct_Change,RSC
2024-08-23,29942.09,29942.09,29942.09,29942.09,0,0.0700842749201902,0.04695403341192783,1.492614581272299
2024-08-26,30257.43,30257.43,30257.43,30257.43,0,1.0531662953387588,0.7551418736139404,1.3946601719999185
2024-08-27,30590.98,30590.98,30590.98,30590.98,0,1.102373863213102,0.028587878739427808,38.56088355701365
2024-08-28,30575.04,30575.04,30575.04,30575.04,0,-0.05210686287264732,0.13830180571794415,-0.3767619851537965
2024-08-29,30412.12,30412.12,30412.12,30412.12,0,-0.5328529414842964,0.3975674936682605,-1.3402829707423747
2024-08-30,30633.07,30633.07,30633.07,30633.07,0,0.7265195586496409,0.3337713378088081,2.1766984649407135
2024-09-02,30662.29,30662.29,30662.29,30662.29,0,0.09538710942129658,0.16959965763059248,0.5624251295899467
2024-09-03,30889.42,30889.42,30889.42,30889.42,0,0.7407470218303791,0.004549284575539048,162.82714557213814
2024-09-04,30848.43,30848.43,30848.43,30848.43,0,-0.13269915718714387,-0.3210066515426213,0.41338444717406386
2024-09-05,31040.78,31040.78,31040.78,31040.78,0,0.6235325428230798,-0.2127093858016571,-2.9313823669468855
2024-09-06,30841.13,30841.13,30841.13,30841.13,0,-0.6431861570488806,-1.16503811875871,0.5520730581194746
2024-09-09,30522.86,30522.86,30522.86,30522.86,0,-1.0319660790639062,0.3390048748297403,-3.044103951549943
2024-09-10,30727.75,30727.75,30727.75,30727.75,0,0.6712673714062145,0.419868144559743,1.598757562591653
2024-09-11,30574.09,30574.09,30574.09,30574.09,0,-0.5000691557305648,-0.48979477738596566,1.0209769046526658
2024-09-12,30846.58,30846.58,30846.58,30846.58,0,0.8912448416289687,1.8879585206944993,0.4720680204886693
2024-09-13,31062.18,31062.18,31062.18,31062.18,0,0.6989429622343835,-0.1276148238009589,-5.476973140083837
2024-09-16,31271.85,31271.85,31271.85,31271.85,0,0.6750009175144678,0.10746751326089488,6.280976427506918
2024-09-17,31042.44,31042.44,31042.44,31042.44,0,-0.7335990675319759,0.13709558280394774,-5.351004405306424
2024-09-18,30880.6,30880.6,30880.6,30880.6,0,-0.5213507701069875,-0.16129952337957665,3.2321903945129677
2024-09-19,30638.73,30638.73,30638.73,30638.73,0,-0.7832425535773235,0.15072376963103373,-5.196543023669542
2024-09-20,30879.57,30879.57,30879.57,30879.57,0,0.7860639132235558,1.4760503308965278,0.5325454672986076
2024-09-23,31129.52,31129.52,31129.52,31129.52,0,0.8094348464049217,0.5742324342453475,1.4095944396952702
2024-09-24,30814.72,30814.72,30814.72,30814.72,0,-1.0112587665983885,0.005204508260714391,-194.3043830349458
2024-09-25,30675.24,30675.24,30675.24,30675.24,0,-0.45264081581789517,0.24575565527131804,-1.8418327558654661
2024-09-26,30617.81,30617.81,30617.81,30617.81,0,-0.1872193990984261,0.81486993422204,-0.22975372048444187
2024-09-27,30543.23,30543.23,30543.23,30543.23,0,-0.24358371810394575,-0.14151636116043198,1.7212406827490687
2024-09-30,30601.31,30601.31,30601.31,30601.31,0,0.1901567057577047,-1.4060915353747983,-0.13523778571572
2024-10-01,30874.42,30874.42,30874.42,30874.42,0,0.8924781324721076,-0.05404703835788505,-16.512988677794997
2024-10-03,30190.89,30190.89,30190.89,30190.89,0,-2.2139039373047287,-2.11963452973033,1.044474368695245
2024-10-04,29964.54,29964.54,29964.54,29964.54,0,-0.7497294713736502,-0.9326695735858426,0.8038532537210997
2024-10-07,29100.77,29100.77,29100.77,29100.77,0,-2.882640614539722,-0.8748890647861551,3.294864149712869
2024-10-08,29711.85,29711.85,29711.85,29711.85,0,2.0998757077561825,0.8767631549761568,2.395031880432165
2024-10-09,30231.46,30231.46,30231.46,30231.46,0,1.7488308536829589,-0.12473438971101203,-14.020438611474326
2024-10-10,30220.5,30220.5,30220.5,30220.5,0,-0.0362536245354983,0.06604768642959336,-0.5489007487664925
2024-10-11,30446.26,30446.26,30446.26,30446.26,0,0.7470425704405814,-0.13680848212589414,-5.460498931295332
2024-10-14,30497.25,30497.25,30497.25,30497.25,0,0.1674754140574386,0.6557377049180246,0.255400006437597
2024-10-15,30813.12,30813.12,30813.12,30813.12,0,1.0357327300002384,-0.2809620362982379,-3.6863796392079826
2024-10-16,30764.24,30764.24,30764.24,30764.24,0,-0.15863372485486193,-0.34341221238478603,0.4619338484011636
2024-10-17,30338.83,30338.83,30338.83,30338.83,0,-1.3828067912615372,-0.8868180671410819,1.5592902789175467
2024-10-18,30241.24,30241.24,30241.24,30241.24,0,-0.3216669858395971,0.42101265260194864,-0.7640316362266691
2024-10-21,29679.63,29679.63,29679.63,29679.63,0,-1.85709977500923,-0.2935135319998228,6.327135114882374
2024-10-22,28697.33,28697.33,28697.33,28697.33,0,-3.309677378053566,-1.246918014131737,2.6542862806887784
